#Log_File	LOG037
#Comment	
#Device	FireStingGO2_Pocket_Oxygen_Meter
#Firmware	3.33
#Unique_ID	2411E505575BA507
#Manufacturer	Pyro_Science_GmbH
#Settings	Sensor Code	Medium	Oxygen Units	Temperature	Salinity
#	SD7-517-198	Water	dphi	Sensor	0.0 psu
#Calibration	Sensor Code	Calibrate Air	Calibrate 0%
#	SD7-517-198	not cal.	not cal.
#Adv. Settings	Temperature	Pressure	Salinity	Mode	LED Intensity	Amplification	Frequency
#	Sensor	Sensor	0 psu	default	30%	400x	4000 Hz
#Adv. Calibration	dphi0	dphi100	Temp0	Temp100	Pressure	Humidity	f	m	calFreq	tt	kt	bkgdAmp	bkgdDphi	useKsv	ksv	ft	mt	not used	PercentO2
#	51.700°	19.800°	20.00°C	20.00°C	1013 mbar	0%RH	0.804	0.122	4000 Hz	-0.056%/K	0.969%/K	0.60 mV	0.000°	0	0.000000/hPa	0.000000/K	-0.000303/K	0	20.95%O2
#
Data_Point	Date_Time(YYYY-MM-DD_hh:mm:ss)	Oxygen(dphi)	Warning 	Compensation_Temperature(°C)	Temperature(°C)	Air_Pressure(mbar)	Humidity(%RH)	Time(s)		Status	dphi(°)	Intensity(mV)	Ambient_Light(mV)	Case_Temperature(°C)
1	2017-07-10 12:27:08	19,195	SignalTooLow_	22,41	22,41	1006,7	62,8	287		2	19,195	46,1	5,0	22,55
2	2017-07-10 12:27:45	19,131		22,37	22,37	1006,7	62,6	324		0	19,131	49,6	5,0	22,55
3	2017-07-10 12:28:20	19,288	SignalTooLow_	22,41	22,41	1006,7	62,7	359		2	19,288	7,9	4,9	22,55
4	2017-07-10 12:28:47	19,184	SignalTooLow_	22,40	22,40	1006,7	62,7	386		2	19,184	36,9	4,9	22,57
5	2017-07-10 12:29:13	19,689	SignalTooLow_	22,42	22,42	1006,7	62,6	412		2	19,689	42,8	4,9	22,57
6	2017-07-10 12:29:47	19,929	SignalTooLow_	22,40	22,40	1006,7	62,6	446		2	19,929	42,7	4,8	22,58
7	2017-07-10 12:30:15	20,782	SignalTooLow_	22,41	22,41	1006,7	62,7	474		2	20,782	33,0	5,0	22,58
8	2017-07-10 12:30:52	19,912	SignalTooLow_	22,41	22,41	1006,7	63,0	511		2	19,912	41,7	4,8	22,59
9	2017-07-10 12:31:21	19,429	SignalTooLow_	22,38	22,38	1006,7	62,6	540		2	19,429	42,7	5,0	22,60
10	2017-07-10 12:31:52	19,205	SignalTooLow_	22,43	22,43	1006,7	62,6	571		2	19,205	42,7	4,9	22,60
