
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SA7-530-200	3	ON External	20.000	OFF	1013	35.000	10%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	% air sat	OFF	SC7-535-194	3	OFF	14.200	OFF	1013	0.000	60%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.000	20.000	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Ch 4	Factory 0% Calibration	Factory Air Calibration	20.000	20.000	1013	0.000	20.950	53.500	19.400	0.850	0.081	4000	1.184	-0.070	0.811	0.000	-0.000370	
Data	Smoothing:	3	
Date:	21.03.2017	
			 	Oxygen			Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21.03.2017	22:46:19	156.27		---	---	---	69.987	11.058	---	---	14.200	1013.08	35.091	11.058	---	---	122.209	---	---	24.452	0.060	---	---	612.696	4.005	---	---	3.643	
21.03.2017	22:46:22	159.27		---	---	---	71.537	11.067	---	---	14.200	1013.09	35.104	11.067	---	---	130.764	---	---	24.186	0.070	---	---	685.660	3.983	---	---	3.651	
21.03.2017	22:46:25	162.27		---	---	---	71.514	11.001	---	---	14.200	1013.07	35.104	11.001	---	---	21.383	---	---	24.190	0.054	---	---	682.691	3.966	---	---	3.656	
21.03.2017	22:46:28	165.27		---	---	---	71.415	11.059	---	---	14.200	1013.07	35.117	11.059	---	---	24.930	---	---	24.206	0.058	---	---	681.664	3.951	---	---	3.668	
21.03.2017	22:46:31	168.27		---	---	---	71.306	11.089	---	---	14.200	1013.09	35.117	11.089	---	---	31.476	---	---	24.224	0.055	---	---	681.433	3.945	---	---	3.656	
21.03.2017	22:46:34	171.27		---	---	---	71.175	11.084	---	---	14.200	1013.10	35.130	11.084	---	---	134.979	---	---	24.246	0.070	---	---	681.775	3.950	---	---	3.651	
21.03.2017	22:46:37	174.27		---	---	---	71.053	11.073	---	---	14.200	1013.10	35.140	11.073	---	---	125.378	---	---	24.266	0.072	---	---	682.253	3.967	---	---	3.638	
21.03.2017	22:46:40	177.27		---	---	---	70.917	11.052	---	---	14.200	1013.08	35.150	11.052	---	---	130.577	---	---	24.289	0.071	---	---	682.788	4.004	---	---	3.639	
21.03.2017	22:46:43	180.27		---	---	---	70.791	11.088	---	---	14.200	1013.10	35.160	11.088	---	---	127.861	---	---	24.310	0.066	---	---	683.299	3.996	---	---	3.647	
21.03.2017	22:46:46	183.27		---	---	---	70.682	11.057	---	---	14.200	1013.11	35.160	11.057	---	---	136.185	---	---	24.328	0.066	---	---	683.802	3.994	---	---	3.658	
21.03.2017	22:46:49	186.27		---	---	---	70.550	11.028	---	---	14.200	1013.10	35.160	11.028	---	---	129.249	---	---	24.350	0.065	---	---	684.277	3.976	---	---	3.659	
21.03.2017	22:46:52	189.27		---	---	---	70.431	11.045	---	---	14.200	1013.07	35.160	11.045	---	---	135.612	---	---	24.370	0.057	---	---	684.816	3.976	---	---	3.655	
21.03.2017	22:46:55	192.27		---	---	---	70.301	11.049	---	---	14.200	1013.06	35.160	11.049	---	---	129.890	---	---	24.392	0.051	---	---	685.336	3.971	---	---	3.662	
21.03.2017	22:46:58	195.27		---	---	---	70.212	11.012	---	---	14.200	1013.06	35.150	11.012	---	---	122.736	---	---	24.407	0.061	---	---	685.894	3.961	---	---	3.658	
21.03.2017	22:47:01	198.27		---	---	---	70.112	10.976	---	---	14.200	1013.05	35.140	10.976	---	---	114.845	---	---	24.424	0.071	---	---	686.409	3.966	---	---	3.656	
21.03.2017	22:47:04	201.27		---	---	---	70.006	10.873	---	---	14.200	1013.05	35.130	10.873	---	---	121.597	---	---	24.442	0.064	---	---	686.930	3.987	---	---	3.644	
21.03.2017	22:47:07	204.27		---	---	---	69.880	10.897	---	---	14.200	1013.07	35.130	10.897	---	---	134.133	---	---	24.463	0.054	---	---	687.364	3.990	---	---	3.651	
21.03.2017	22:47:10	207.27		---	---	---	69.778	10.946	---	---	14.200	1013.10	35.140	10.946	---	---	132.823	---	---	24.481	0.063	---	---	687.800	3.983	---	---	3.645	
21.03.2017	22:47:13	210.27		---	---	---	69.668	10.996	---	---	14.200	1013.10	35.150	10.996	---	---	127.391	---	---	24.499	0.067	---	---	688.244	3.966	---	---	3.648	
21.03.2017	22:47:16	213.27		---	---	---	69.578	11.019	---	---	14.200	1013.08	35.160	11.019	---	---	120.023	---	---	24.515	0.073	---	---	688.727	3.980	---	---	3.649	
21.03.2017	22:47:19	216.27		---	---	---	69.469	10.951	---	---	14.200	1013.07	35.160	10.951	---	---	123.410	---	---	24.534	0.050	---	---	688.952	3.981	---	---	3.665	
21.03.2017	22:47:22	219.27		---	---	---	69.371	10.988	---	---	14.200	1013.08	35.160	10.988	---	---	123.674	---	---	24.551	0.058	---	---	689.222	3.999	---	---	3.659	
