time.hours,oxygen
1.128,36.8
1.128,36.6
1.128,36.5
1.128,36.4
1.152,36.3
1.152,36.2
1.152,36.4
1.152,36
1.152,36
1.152,35.9
1.152,35.7
1.152,35.7
1.152,35.6
1.176,35.5
1.176,35.4
1.176,35.4
1.176,35.2
1.176,35.2
1.176,35.1
1.176,35.1
1.176,34.8
1.2,34.7
1.2,34.8
1.2,34.7
1.2,34.6
1.2,34.5
1.2,34.2
1.2,34.3
1.2,34
1.2,34.1
1.224,34
1.224,33.9
1.224,33.9
1.224,33.7
1.224,33.6
1.224,33.5
1.224,33.5
1.224,33.2
1.224,33.3
1.248,33.3
1.248,33.2
1.248,33
1.248,33
1.248,32.7
1.248,32.7
1.248,32.8
1.248,32.5
1.272,32.6
1.272,32.4
1.272,32.3
1.272,32.3
1.272,32.2
1.272,32.2
1.272,32.1
1.272,31.9
1.272,31.8
1.296,31.9
1.296,31.6
1.296,31.7
1.296,31.5
1.296,31.4
1.296,31.4
1.296,31.1
1.296,31.2
1.296,31.1
1.32,31.1
1.32,30.8
1.32,30.9
1.32,30.6
1.32,30.6
1.32,30.6
1.32,30.4
1.32,30.4
1.344,30.2
1.344,30.3
1.344,30.1
1.344,30
1.344,29.9
1.344,29.8
1.344,29.8
1.344,29.5
1.344,29.5
1.368,29.5
1.368,29.4
1.368,29.3
1.368,29.3
1.368,29.2
1.368,29.1
1.368,29
1.368,28.9
1.368,28.7
1.392,28.6
1.392,28.7
1.392,28.5
1.392,28.6
1.392,28.3
1.392,28.3
1.392,28.3
1.392,28.2
1.416,28.1
1.416,28
1.416,27.8
1.416,27.7
1.416,27.7
1.416,27.6
1.416,27.5
1.416,27.4
1.416,27.5
1.44,27.2
1.44,27.1
1.44,27.1
1.44,26.9
1.44,26.9
1.44,26.9
1.44,26.9
1.44,26.8
1.44,26.7
1.464,26.6
1.464,26.5
1.464,26.3
1.464,26.2
1.464,26.2
1.464,26.1
1.464,26.1
1.464,25.9
1.488,25.9
1.488,25.9
1.488,25.7
1.488,25.6
1.488,25.5
1.488,25.5
1.488,25.4
1.488,25.3
1.488,25.3
1.512,25.1
1.512,25
1.512,25.1
1.512,24.9
1.512,24.7
1.512,24.7
1.512,24.5
1.512,24.6
1.512,24.4
1.536,24.3
1.536,24.3
1.536,24.2
1.536,24.1
1.536,23.9
1.536,23.9
1.536,23.9
1.536,23.8
1.56,23.6
1.56,23.6
1.56,23.4
1.56,23.4
1.56,23.3
1.56,23.4
1.56,23.2
1.56,23
1.56,23
1.584,22.9
1.584,22.7
1.584,22.7
1.584,22.7
1.584,22.6
1.584,22.6
1.584,22.4
1.584,22.3
1.608,22.3
1.608,22.3
1.608,22.1
1.608,21.9
1.608,22
1.608,22
1.608,21.8
1.608,21.7
1.608,21.6
1.632,21.5
1.632,21.5
1.632,21.4
1.632,21.3
1.632,21.2
1.632,21.1
1.632,21
1.632,20.9
1.632,20.9
1.656,20.8
1.656,20.7
1.656,20.7
1.656,20.5
1.656,20.5
1.656,20.5
1.656,20.4
1.656,20.3
1.68,20.3
1.68,20.1
1.68,20
1.68,19.8
1.68,19.9
1.68,19.8
1.68,19.7
1.68,19.6
1.68,19.5
1.704,19.4
1.704,19.3
1.704,19.2
1.704,19.1
1.704,19.1
1.704,19
1.704,18.9
1.704,18.8
1.704,18.8
1.728,18.6
1.728,18.6
1.728,18.5
1.728,18.4
1.728,18.3
1.728,18.2
1.728,18.2
1.728,18.1
1.752,18.1
1.752,17.9
1.752,17.9
1.752,17.7
1.752,17.7
1.752,17.7
1.752,17.4
1.752,17.4
1.752,17.3
1.776,17.2
1.776,17.2
1.776,17.1
1.776,17
1.776,17
1.776,16.8
1.776,16.8
1.776,16.7
1.8,16.6
1.8,16.5
1.8,16.4
1.8,16.5
1.8,16.3
1.8,16.2
1.8,16.3
1.8,16.1
1.8,16.1
1.824,15.9
1.824,15.8
1.824,15.7
1.824,15.7
1.824,15.6
1.824,15.5
1.824,15.5
1.824,15.3
1.824,15.3
1.848,15.3
1.848,15.1
1.848,15.1
1.848,14.9
1.848,14.8
1.848,14.7
1.848,14.7
1.848,14.7
1.872,14.4
1.872,14.4
1.872,14.4
1.872,14.3
1.872,14.2
1.872,14.1
1.872,14.1
1.872,14
1.872,13.9
1.896,13.8
1.896,13.7
1.896,13.7
1.896,13.6
1.896,13.5
1.896,13.5
1.896,13.4
1.896,13.3
1.896,13.2
1.92,13.2
1.92,13
1.92,12.9
1.92,12.9
1.92,12.7
1.92,12.8
1.92,12.6
1.92,12.6
1.944,12.5
1.944,12.4
1.944,12.3
1.944,12.3
1.944,12.2
1.944,12.1
1.944,12
1.944,11.9
1.944,11.9
1.968,11.8
1.968,11.8
1.968,11.6
1.968,11.6
1.968,11.5
1.968,11.3
1.968,11.3
1.968,11.3
1.968,11.2
1.992,11.1
1.992,11
1.992,10.9
1.992,10.8
1.992,10.7
1.992,10.6
1.992,10.5
1.992,10.5
2.016,10.4
2.016,10.4
2.016,10.3
2.016,10.2
2.016,10.1
2.016,10
2.016,9.98
2.016,9.97
2.016,9.89
2.04,9.83
2.04,9.72
2.04,9.58
2.04,9.54
2.04,9.47
2.04,9.39
2.04,9.31
2.04,9.21
2.04,8.99
2.064,9.02
2.064,8.99
2.064,8.91
2.064,8.8
2.064,8.68
2.064,8.69
2.064,8.64
2.064,8.41
2.088,8.36
2.088,8.32
2.088,8.22
2.088,8.13
2.088,8.15
2.088,7.96
2.088,7.93
2.088,7.89
2.088,7.83
2.112,7.71
2.112,7.73
2.112,7.59
2.112,7.39
2.112,7.36
2.112,7.34
2.112,7.32
2.112,7.22
2.136,7.22
2.136,7.04
2.136,6.95
2.136,6.93
2.136,6.86
2.136,6.84
2.136,6.69
2.136,6.59
2.136,6.52
2.16,6.47
2.16,6.27
2.16,6.28
2.16,6.16
2.16,6.11
2.16,6.05
2.16,5.98
2.16,5.94
2.16,5.85
2.184,5.76
2.184,5.7
2.184,5.6
2.184,5.5
2.184,5.45
2.184,5.45
2.184,5.34
2.184,5.21
2.208,5.19
2.208,5.09
2.208,4.99
2.208,4.91
2.208,4.85
2.208,4.76
2.208,4.75
2.208,4.64
2.208,4.58
2.232,4.44
2.232,4.4
2.232,4.3
2.232,4.21
2.232,4.18
2.232,4.15
2.232,4.08
2.232,4.03
2.232,3.89
2.256,3.86
2.256,3.76
2.256,3.72
2.256,3.61
2.256,3.47
2.256,3.47
2.256,3.42
2.256,3.32
2.28,3.25
2.28,3.25
2.28,3.12
2.28,3.15
2.28,2.93
2.28,2.95
2.28,2.83
2.28,2.8
2.28,2.72
2.304,2.68
2.304,2.58
2.304,2.49
2.304,2.35
2.304,2.4
2.304,2.29
2.304,2.21
2.304,2.04
2.304,1.99
2.328,2.02
2.328,1.96
2.328,1.87
2.328,1.83
2.328,1.72
2.328,1.61
2.328,1.56
2.328,1.57
2.352,1.49
2.352,1.35
2.352,1.22
2.352,1.22
2.352,1.16
2.352,1.12
2.352,1.06
2.352,1
2.352,0.959
2.376,0.841
2.376,0.857
2.376,0.738
2.376,0.761
2.376,0.592
2.376,0.49
2.376,0.498
2.376,0.454
2.376,0.385
2.4,0.268
2.4,0.303
2.4,0.129
2.4,0.0538
2.4,0.0935
2.4,-0.0369
2.4,-0.0347
2.4,-0.0959
2.424,-0.127
2.424,-0.267
2.424,-0.298
2.424,-0.293
2.424,-0.359
2.424,-0.466
2.424,-0.521
2.424,-0.53
2.424,-0.658
2.448,-0.604
2.448,-0.663
2.448,-0.678
2.448,-0.802
2.448,-0.824
2.448,-0.819
2.448,-0.941
2.448,-0.917
2.472,-0.899
2.472,-0.919
2.472,-0.928
2.472,-1.02
2.472,-0.943
2.472,-0.962
2.472,-1
2.472,-0.99
2.472,-0.99
2.496,-1.07
2.496,-1.02
2.496,-0.999
2.496,-1.06
2.496,-1.04
2.496,-1.03
2.496,-1.04
2.496,-1.03
